timestamp,formatted_time,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
81990159,01-01 16:46:30:159,0,3,2,-2,1,0,-1,-3
81990207,01-01 16:46:30:207,8,-5,-3,8,2,-1,1,1
81990266,01-01 16:46:30:266,-3,-1,5,-5,2,0,-2,0
81990305,01-01 16:46:30:305,6,1,-2,-3,3,0,-1,-1
81990365,01-01 16:46:30:365,-1,-1,-4,-3,-1,1,0,-1
81990408,01-01 16:46:30:408,1,-2,-2,-6,-3,-1,-2,-1
81990468,01-01 16:46:30:468,-2,0,-2,-2,0,-1,-1,0
81990519,01-01 16:46:30:519,1,-2,1,1,-3,-2,-1,-2
81990567,01-01 16:46:30:567,1,0,0,-1,0,0,0,-1
81990626,01-01 16:46:30:626,-1,-1,0,1,0,0,1,0
81990669,01-01 16:46:30:669,-3,-2,1,1,-1,0,0,-2
81990723,01-01 16:46:30:723,3,0,2,1,0,-1,0,2
81990768,01-01 16:46:30:768,8,5,5,19,7,5,4,4
81990830,01-01 16:46:30:830,-6,-7,-1,-6,-4,-4,-3,-4
81990867,01-01 16:46:30:867,1,-1,-3,0,-1,-1,-1,-1
81990927,01-01 16:46:30:927,-9,-2,-2,-1,-1,0,-1,-2
81990986,01-01 16:46:30:986,-1,-2,1,4,2,-1,1,-2
81991031,01-01 16:46:31:31,-8,-2,-2,-1,-1,-1,0,-2
81991082,01-01 16:46:31:82,6,-1,-1,1,1,2,0,0
81991130,01-01 16:46:31:130,-1,0,0,-2,1,0,-1,1
81991190,01-01 16:46:31:190,-10,-5,-2,-2,-1,0,-1,-1
81991227,01-01 16:46:31:227,-1,-1,1,-1,-1,0,-2,-2
81991287,01-01 16:46:31:287,7,1,2,10,2,-1,1,3
81991345,01-01 16:46:31:345,0,2,0,1,1,0,-1,2
81991391,01-01 16:46:31:391,1,2,-1,0,-1,-1,-2,-2
81991442,01-01 16:46:31:442,-9,-1,-1,-2,-1,0,-1,0
81991490,01-01 16:46:31:490,0,-1,1,0,0,0,-1,1
81991548,01-01 16:46:31:548,-4,-4,0,-2,0,0,-1,1
81991592,01-01 16:46:31:592,-5,-2,-2,0,0,0,-2,-1
81991645,01-01 16:46:31:645,-1,-1,0,1,-1,-2,0,-1
81991691,01-01 16:46:31:691,0,-1,0,1,0,-1,-1,-1
81991750,01-01 16:46:31:750,-4,-1,0,0,0,0,0,0
81991790,01-01 16:46:31:790,2,-3,-3,0,0,-1,-1,-1
81991850,01-01 16:46:31:850,1,2,1,0,0,-1,1,0
