timestamp,formatted_time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,roll_w,pitch_w,yaw_w,rssi,pose 
81983417,01-01 16:46:23:417,0.00488281,-0.450195,1.07959,2.5,18.9375,8.875,7,9,14,-53,unknown
81983454,01-01 16:46:23:454,-0.00683594,-0.440918,1.10498,5.9375,49.875,26.625,7,9,14,-53,unknown
81983514,01-01 16:46:23:514,-0.0932617,-0.428711,1.06543,-13.875,92.8125,53.4375,7,9,14,-53,unknown
81983574,01-01 16:46:23:574,-0.172363,-0.422852,1.01416,-4.8125,125.375,81.125,7,10,15,-53,unknown
81983612,01-01 16:46:23:612,-0.258301,-0.398926,0.968262,-1.875,137.75,94.625,7,11,15,-53,unknown
81983672,01-01 16:46:23:672,-0.567871,-0.397461,0.848633,8.6875,144.938,96.625,7,12,15,-53,unknown
81983717,01-01 16:46:23:717,-0.618164,-0.331055,0.770996,13.375,145.562,106.188,8,12,15,-53,unknown
81983777,01-01 16:46:23:777,-0.732422,-0.230957,0.654297,20.8125,140.188,108.062,8,13,15,-53,unknown
81983814,01-01 16:46:23:814,-0.747559,-0.137695,0.537598,32.6875,146.562,112.5,8,14,15,-53,unknown
81983874,01-01 16:46:23:874,-0.870605,-0.0224609,0.40332,35.5,141.062,110.5,9,15,16,-53,unknown
81983912,01-01 16:46:23:912,-0.897949,0.100586,0.325684,16.1875,120.062,103.875,9,15,17,-53,unknown
81983972,01-01 16:46:23:972,-0.917969,0.157227,0.152832,-1.125,81,82.9375,10,16,0,-53,unknown
81984032,01-01 16:46:24:32,-0.87207,0.244629,0.0620117,-15.25,23.5,32.8125,11,16,0,-53,unknown
81984077,01-01 16:46:24:77,-0.80957,0.224609,0.0473633,-12.5625,-16.3125,-4.9375,11,16,0,-53,unknown
81984114,01-01 16:46:24:114,-0.854004,0.22168,0.0981445,-9.375,-51.0625,-34.5625,11,16,0,-53,unknown
81984175,01-01 16:46:24:175,-0.887207,0.126953,0.183105,-12.0625,-88.1875,-58.9375,10,16,17,-53,unknown
