timestamp,formatted_time,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1305597,12-31 18:21:45:597,-5,-2,2,0,0,0,-2,13
1305642,12-31 18:21:45:642,-5,1,-7,-1,-1,0,0,-6
1305701,12-31 18:21:45:701,-10,6,0,2,-4,-3,-1,2
1305739,12-31 18:21:45:739,-5,-3,1,2,3,-1,0,-4
1305799,12-31 18:21:45:799,1,-6,-1,-1,-3,0,2,-1
1305836,12-31 18:21:45:836,1,9,-2,-3,2,1,-4,-8
1305896,12-31 18:21:45:896,6,5,-1,-1,-3,-3,-1,-2
1305956,12-31 18:21:45:956,0,-5,-3,0,-1,3,2,0
1306001,12-31 18:21:46:1,-4,0,0,-1,1,-1,-4,-3
1306047,12-31 18:21:46:47,-3,-4,0,-1,1,-1,2,2
1306099,12-31 18:21:46:99,0,-2,-2,-2,-2,0,-2,-1
1306159,12-31 18:21:46:159,0,0,-1,1,0,0,0,1
1306196,12-31 18:21:46:196,-2,-2,0,1,0,-3,4,1
1306265,12-31 18:21:46:265,1,-2,-1,0,1,-1,6,-1
1306315,12-31 18:21:46:315,0,0,1,0,1,0,0,0
1306361,12-31 18:21:46:361,1,1,-1,0,0,-1,-1,-1
1306399,12-31 18:21:46:399,-1,-1,0,0,2,0,1,-1
1306459,12-31 18:21:46:459,0,-1,0,-1,-5,0,-1,2
1306519,12-31 18:21:46:519,1,-1,1,0,0,1,1,-1
1306563,12-31 18:21:46:563,-1,-1,-2,2,-2,0,0,-1
1306615,12-31 18:21:46:615,0,-1,-1,1,0,0,2,-1
1306662,12-31 18:21:46:662,-1,0,0,-1,0,1,1,0
1306722,12-31 18:21:46:722,0,0,-1,0,-1,1,-1,0
1306759,12-31 18:21:46:759,-1,-1,-1,0,-2,-2,0,0
1306819,12-31 18:21:46:819,1,-1,0,-1,-1,-1,0,0
1306865,12-31 18:21:46:865,9,-3,0,-1,-1,0,0,1
1306925,12-31 18:21:46:925,-9,-4,0,-1,2,1,5,-4
1306962,12-31 18:21:46:962,-49,-5,-1,-2,-1,-1,-4,10
1307022,12-31 18:21:47:22,1,-1,-1,0,-2,0,-1,0
1307082,12-31 18:21:47:82,-9,-1,0,-1,0,-1,-6,-1
1307128,12-31 18:21:47:128,-10,-5,-1,-1,0,-1,-13,-3
1307186,12-31 18:21:47:186,1,1,-1,-3,-2,-3,-3,-5
1307238,12-31 18:21:47:238,-2,2,-2,-1,1,-1,-7,0
1307285,12-31 18:21:47:285,4,1,-2,0,1,-1,1,1
1307330,12-31 18:21:47:330,-1,-2,2,-2,0,-2,-3,-1
1307383,12-31 18:21:47:383,0,-2,-1,1,-1,-2,0,-1
1307426,12-31 18:21:47:426,1,1,-1,-1,0,0,1,2
1307486,12-31 18:21:47:486,0,1,0,0,-1,1,3,-1
1307538,12-31 18:21:47:538,-2,-2,-3,-1,-1,2,1,1
1307585,12-31 18:21:47:585,-4,-2,-1,-1,0,1,-1,0
1307645,12-31 18:21:47:645,1,-2,-1,0,0,-1,0,0
1307688,12-31 18:21:47:688,4,0,1,0,-1,-1,-1,1
1307740,12-31 18:21:47:740,-2,-1,0,-1,0,-3,0,0
